Timestamp,node0238,node0260,node0267,node0303,node0332,node0374,node0378,node0379,node0766,node1767
2013-03-29 11:40:49,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:50,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:51,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:52,0,0,0,0,0,0,0,0,1,0
2013-03-29 11:40:53,0,0,0,0,0,0,0,0,1,0
2013-03-29 11:40:54,0,0,0,0,0,0,0,0,1,0
2013-03-29 11:40:55,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:56,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:57,0,0,0,0,0,0,0,0,0,0
2013-03-29 11:40:58,0,0,0,0,0,0,0,0,4,0
2013-03-29 11:40:59,0,0,0,0,0,0,0,0,2,0
2013-03-29 11:41:00,0,0,0,0,0,0,0,0,5,0
2013-03-29 11:41:01,0,0,0,0,0,0,0,0,3,0
2013-03-29 11:41:02,6,5,5,5,6,5,6,6,7,6
2013-03-29 11:41:03,10,5,5,5,10,5,10,10,12,10
2013-03-29 11:41:04,12,7,6,6,10,6,13,13,25,12
2013-03-29 11:41:05,32,19,19,19,33,20,32,33,33,33
2013-03-29 11:41:06,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:07,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:08,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:09,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:10,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:11,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:12,33,33,33,33,33,33,32,32,33,33
2013-03-29 11:41:13,31,32,31,32,32,32,33,33,33,32
2013-03-29 11:41:14,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:15,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:16,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:17,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:18,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:19,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:20,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:21,33,33,33,33,32,33,33,32,33,33
2013-03-29 11:41:22,31,31,32,32,32,32,33,33,33,32
2013-03-29 11:41:23,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:24,33,33,33,33,33,33,32,33,33,33
2013-03-29 11:41:25,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:26,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:27,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:28,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:29,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:30,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:31,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:32,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:33,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:34,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:35,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:36,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:37,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:38,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:39,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:40,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:41,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:42,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:43,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:44,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:45,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:46,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:47,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:48,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:49,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:50,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:51,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:52,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:53,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:54,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:55,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:56,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:57,33,33,33,33,33,33,33,33,33,33
2013-03-29 11:41:58,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:41:59,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:42:00,33,33,33,33,33,33,33,33,34,33
2013-03-29 11:42:01,33,33,33,33,33,33,33,33,34,33
